Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.77,0.27,2.23,0.55,55.16,2.29,11.46
CRH,16.91,0.89,13.26,1.35,98.7,2.58,44.22
Royal Mail,14.07,0.21,6.23,0.4,50.22,3.31,46.58
Biffa,12.14,0.58,6.7,1.35,134.94,1.12,13.54
