Company Name,cash_flow,debt_to_equity,dividend_yield,payout_ratio,pb_ratio,pe_ratio,ps_ratio
Aviva,2.41,55.43,3.35,48.5,0.65,4.49,0.16
Biffa,5.91,134.94,1.26,13.54,1.19,10.77,0.51
Card Factory,3.65,132.51,5.8,33.14,0.77,3.31,0.38
Elementis,10.6,66.2,3.32,35.44,0.54,10.6,0.56
Hunting,5.81,4.2,1.81,45.84,0.39,12.1,0.48
Inchcape,12.59,52.64,1.89,33.35,1.47,5.99,0.2
Royal Mail,4.74,50.22,4.35,46.58,0.31,10.71,0.16
TI Fluid Systems,8.27,113.14,1.45,32.91,0.91,7.52,0.31
