,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.5,0.31,2.57,0.64,55.16,1.99,11.46
1,CRH,17.12,0.91,13.42,1.36,98.7,2.35,44.22
2,Royal Mail,13.97,0.21,6.18,0.4,50.22,3.33,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.76,0.56,6.45,1.3,134.94,1.15,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,8.89,0.58,11.72,1.07,102.17,2.52,44.06
