,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.22,0.29,2.44,0.61,55.16,2.09,11.46
1,CRH,16.95,0.9,13.29,1.35,98.7,2.55,44.22
2,Royal Mail,14.87,0.22,6.58,0.43,50.22,3.13,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.98,0.57,6.57,1.33,134.94,1.13,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
