Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.15,0.35,2.88,0.71,55.16,3.84,11.46
CRH,18.56,0.98,14.55,1.48,98.7,2.35,44.22
