,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.2,0.29,2.43,0.6,55.16,2.1,11.46
1,CRH,16.6,0.88,13.01,1.32,98.7,2.61,44.22
2,Royal Mail,15.21,0.23,6.73,0.44,50.22,3.06,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,12.17,0.58,6.71,1.35,134.94,1.11,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
