Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.87,0.28,2.28,0.57,55.16,2.24,11.46
CRH,16.08,0.85,12.61,1.28,98.7,2.69,44.22
Royal Mail,14.86,0.22,6.57,0.43,50.22,3.13,46.58
Biffa,11.6,0.55,6.39,1.29,134.94,1.17,13.54
