Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.87,0.28,2.28,0.57,55.16,2.24,11.46
CRH,16.97,0.9,13.31,1.35,98.7,2.58,44.22
Royal Mail,15.68,0.23,6.94,0.45,50.22,2.97,46.58
Biffa,12.09,0.58,6.67,1.34,134.94,1.12,13.54
