Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.05,0.34,2.83,0.7,55.16,3.91,11.46
CRH,18.05,0.95,14.15,1.44,98.7,2.43,44.22
