Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.03,0.28,2.35,0.58,55.16,2.17,11.46
CRH,16.45,0.87,12.89,1.31,98.7,2.63,44.22
Royal Mail,15.04,0.22,6.65,0.43,50.22,3.1,46.58
Biffa,11.81,0.56,6.52,1.31,134.94,1.15,13.54
