Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.12,0.29,2.39,0.59,55.16,2.13,11.46
CRH,17.39,0.92,13.63,1.38,98.7,2.49,44.22
Royal Mail,15.15,0.23,6.7,0.43,50.22,3.07,46.58
Biffa,12.03,0.57,6.64,1.34,134.94,1.13,13.54
