Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.84,0.33,2.73,0.68,55.16,4.05,11.46
CRH,17.65,0.93,13.83,1.4,98.7,2.48,44.22
