Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.83,0.33,2.72,0.68,55.16,4.06,11.46
CRH,17.57,0.93,13.77,1.4,98.7,2.44,44.22
