,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.41,0.3,2.52,0.63,55.16,2.02,38.47
1,Grafton,10.93,0.59,11.48,1.15,64.77,0.99,31.37
2,Hunting,10.73,0.43,5.15,0.35,4.2,2.14,45.84
3,Royal Mail,11.26,0.17,4.98,0.32,50.22,4.14,46.58
4,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
5,Biffa,11.13,0.53,6.11,1.23,134.94,1.22,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Rank,11.07,0.73,14.59,1.33,102.17,6.01,44.06
8,TI Fluid Systems,7.19,0.3,7.91,0.87,113.14,1.51,32.91
