Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.06,0.34,2.83,0.7,55.16,3.9,11.46
CRH,18.37,0.97,14.4,1.46,98.7,2.37,44.22
