Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.97,0.28,2.32,0.58,55.16,2.2,11.46
CRH,16.81,0.89,13.18,1.34,98.7,2.59,44.22
Royal Mail,15.49,0.23,6.85,0.44,50.22,3.01,46.58
Biffa,11.29,0.54,6.23,1.25,134.94,1.2,13.54
