Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.73,0.32,2.68,0.67,55.16,1.9,11.46
CRH,17.98,0.95,14.1,1.43,98.7,2.45,44.22
