,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.31,0.3,2.48,0.62,55.16,2.05,11.46
1,Grafton,11.04,0.59,11.6,1.16,64.77,0.98,31.37
2,Hunting,10.3,0.41,4.94,0.33,4.2,2.22,45.84
3,Royal Mail,11.92,0.18,5.27,0.34,50.22,3.91,46.58
4,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
5,Biffa,11.18,0.53,6.14,1.24,134.94,1.21,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Rank,10.81,0.71,14.25,1.3,102.17,6.15,44.06
8,TI Fluid Systems,7.24,0.3,7.97,0.88,113.14,1.5,32.91
