,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.22,0.3,2.44,0.61,55.16,2.09,11.46
1,CRH,17.5,0.93,13.72,1.39,98.7,2.47,44.22
2,Royal Mail,14.94,0.22,6.61,0.43,50.22,3.12,46.58
3,Biffa,12.75,0.61,7.03,1.41,134.94,1.06,13.54
