,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.09,0.29,2.38,0.59,55.16,2.14,11.46
1,CRH,16.52,0.87,12.95,1.31,98.7,2.6,44.22
2,Royal Mail,14.96,0.22,6.62,0.43,50.22,3.11,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,12.17,0.58,6.68,1.35,134.94,1.11,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
