Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.09,0.34,2.85,0.71,55.16,3.88,11.46
CRH,18.22,0.96,14.29,1.45,98.7,2.38,44.22
