Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.91,0.33,2.76,0.69,55.16,1.85,11.46
CRH,17.84,0.94,13.98,1.42,98.7,2.47,44.22
