Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.65,0.32,2.64,0.66,55.16,1.93,11.46
CRH,18.34,0.97,14.38,1.46,98.7,2.41,44.22
Royal Mail,17.16,0.25,7.59,0.49,50.22,2.71,46.58
