Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.75,0.32,2.69,0.67,55.16,1.9,11.46
CRH,18.37,0.97,14.4,1.46,98.7,2.38,44.22
Royal Mail,16.76,0.25,7.42,0.48,50.22,2.78,46.58
