,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.08,0.29,2.37,0.59,55.16,2.15,11.46
1,CRH,16.37,0.87,12.84,1.3,98.7,2.62,44.22
2,Royal Mail,14.9,0.22,6.59,0.43,50.22,3.12,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.98,0.57,6.57,1.33,134.94,1.13,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
