Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.98,0.28,2.33,0.58,55.16,2.19,11.46
CRH,16.86,0.89,13.22,1.34,98.7,2.55,44.22
Royal Mail,15.28,0.23,6.76,0.44,50.22,3.05,46.58
Biffa,11.71,0.56,6.45,1.3,134.94,1.16,13.54
