,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.17,0.29,2.41,0.6,55.16,2.11,11.46
1,CRH,16.83,0.89,13.19,1.34,98.7,2.46,44.22
2,Royal Mail,13.55,0.2,6.0,0.39,50.22,3.44,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.68,0.55,6.41,1.3,134.94,1.16,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,10.81,0.71,14.25,1.3,102.17,6.15,44.06
