,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,4.98,0.28,2.33,0.58,55.16,2.19,11.46
1,CRH,16.58,0.88,13.0,1.32,98.7,2.51,44.22
2,Royal Mail,10.72,0.16,4.74,0.31,50.22,4.35,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.21,0.53,6.15,1.24,134.94,1.21,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,11.11,0.73,14.66,1.33,102.17,5.98,44.06
