,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.08,0.29,2.37,0.59,55.16,2.15,11.46
1,CRH,16.4,0.87,12.85,1.3,98.7,2.61,44.22
2,Royal Mail,14.96,0.22,6.62,0.43,50.22,3.11,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,10.93,0.52,6.0,1.21,134.94,1.24,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
