,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.06,0.29,2.36,0.59,55.16,2.16,11.46
1,CRH,16.85,0.89,13.21,1.34,98.7,2.47,44.22
2,Royal Mail,10.84,0.16,4.8,0.31,50.22,4.3,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.51,0.55,6.32,1.28,134.94,1.18,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,10.81,0.71,14.25,1.3,102.17,6.15,44.06
