Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.67,0.26,2.18,0.54,55.16,2.34,11.46
CRH,16.01,0.85,12.55,1.27,98.7,2.71,44.22
Royal Mail,14.35,0.21,6.35,0.41,50.22,3.25,46.58
Biffa,11.51,0.55,6.35,1.28,134.94,1.18,13.54
