,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.44,0.31,2.54,0.63,55.16,2.01,11.46
1,CRH,17.46,0.92,13.69,1.39,98.7,2.48,44.22
2,Royal Mail,15.21,0.23,6.73,0.44,50.22,3.06,46.58
3,Biffa,12.36,0.59,6.82,1.37,134.94,1.1,13.54
