Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.62,0.32,2.63,0.65,55.16,1.94,11.46
CRH,17.99,0.95,14.1,1.43,98.7,2.43,44.22
Royal Mail,17.05,0.25,7.54,0.49,50.22,2.73,46.58
