Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.95,0.34,2.78,0.69,55.16,3.98,11.46
CRH,18.68,0.99,14.64,1.49,98.7,2.36,44.22
