Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.14,0.29,2.4,0.6,55.16,2.13,11.46
CRH,17.49,0.92,13.71,1.39,98.7,2.48,44.22
Royal Mail,14.87,0.22,6.58,0.43,50.22,3.13,46.58
Biffa,12.31,0.59,6.79,1.37,134.94,1.1,13.54
