,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.33,0.3,2.49,0.62,55.16,2.05,11.46
1,Grafton,11.38,0.61,11.95,1.2,64.77,0.95,31.37
2,Hunting,10.25,0.41,4.92,0.33,4.2,2.23,45.84
3,Royal Mail,13.47,0.2,5.96,0.39,50.22,3.46,46.58
4,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
5,Biffa,11.24,0.53,6.17,1.25,134.94,1.2,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Rank,10.89,0.71,14.36,1.31,102.17,6.1,44.06
8,TI Fluid Systems,7.18,0.3,7.91,0.87,113.14,1.51,32.91
