Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.05,0.29,2.36,0.59,55.16,2.16,11.46
CRH,17.3,0.91,13.56,1.38,98.7,2.52,44.22
Royal Mail,15.72,0.23,6.96,0.45,50.22,2.96,46.58
