Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.95,0.28,2.31,0.57,55.16,2.21,11.46
CRH,17.17,0.91,13.46,1.37,98.7,2.53,44.22
Royal Mail,15.67,0.23,6.93,0.45,50.22,2.97,46.58
