Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.76,0.33,2.69,0.67,55.16,1.89,11.46
CRH,18.17,0.96,14.25,1.45,98.7,2.41,44.22
Royal Mail,17.76,0.26,7.86,0.51,50.22,2.62,46.58
