Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.69,0.26,2.19,0.54,55.16,2.33,11.46
CRH,16.26,0.86,12.75,1.29,98.7,2.68,44.22
Royal Mail,14.09,0.21,6.24,0.4,50.22,3.3,46.58
Biffa,11.9,0.57,6.56,1.32,134.94,1.14,13.54
