Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.06,0.29,2.36,0.59,55.16,2.16,11.46
CRH,17.0,0.9,13.33,1.35,98.7,2.56,44.22
Royal Mail,15.49,0.23,6.85,0.44,50.22,3.01,46.58
Biffa,11.4,0.54,6.29,1.27,134.94,1.19,13.54
