Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
1pm PLC,12.4,0.65,7.91,0.34,5.15,3.97,20.6
H&T Group PLC,6.26,0.66,7.69,0.76,17.95,1.03,25.15
Aviva PLC,5.79,0.33,2.7,0.67,55.16,1.89,11.46
Charles Stanley Group PLC,10.14,0.84,9.26,1.22,10.77,3.23,32.12
CRH PLC,18.02,0.95,14.13,1.43,98.7,2.43,44.22
HML Holdings PLC,15.46,0.56,6.81,1.02,39.7,1.42,2.93
Walker Crips Group PLC,15.72,0.36,4.05,0.5,20.27,2.26,35.38
Wynnstay Group PLC,11.0,0.15,8.87,0.71,12.82,4.06,44.55
