Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,4.88,0.28,2.28,0.57,55.16,2.24,11.46
CRH,17.66,0.93,13.85,1.4,98.7,2.47,44.22
Royal Mail,14.51,0.22,6.42,0.42,50.22,3.21,46.58
Biffa,12.17,0.58,6.72,1.35,134.94,1.11,13.54
