Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.74,0.32,2.68,0.67,55.16,1.9,11.46
CRH,18.15,0.96,14.23,1.44,98.7,2.41,44.22
Royal Mail,16.69,0.25,7.38,0.48,50.22,2.79,46.58
