,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.38,0.3,2.51,0.62,55.16,2.03,11.46
1,CRH,18.04,0.95,14.14,1.43,98.7,2.4,44.22
2,Royal Mail,15.43,0.23,6.83,0.44,50.22,3.02,46.58
3,Biffa,12.83,0.61,7.07,1.42,134.94,1.06,13.54
