,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.26,0.3,2.46,0.61,55.16,2.08,11.46
1,Grafton,11.21,0.6,11.78,1.18,64.77,0.96,31.37
2,Hunting,10.39,0.42,4.99,0.33,4.2,2.2,45.84
3,Royal Mail,13.24,0.2,5.86,0.38,50.22,3.52,46.58
4,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
5,Biffa,11.29,0.54,6.2,1.25,134.94,1.2,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Rank,11.02,0.72,14.53,1.32,102.17,6.03,44.06
8,TI Fluid Systems,7.15,0.3,7.87,0.87,113.14,1.52,32.91
