,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Biffa,10.87,0.52,5.96,1.21,134.94,1.25,13.54
1,Card Factory,3.31,0.38,3.65,0.77,132.51,5.8,33.14
2,Elementis,10.23,0.54,10.22,0.52,66.2,3.44,35.44
3,Hunting,11.89,0.48,5.71,0.38,4.2,1.84,45.84
4,Inchcape,5.99,0.2,12.6,1.47,52.64,1.89,33.35
5,Royal Mail,10.84,0.16,4.8,0.31,50.22,4.29,46.58
6,TI Fluid Systems,7.31,0.3,8.05,0.89,113.14,1.48,32.91
