Company Name,cash_flow,debt_to_equity,dividend_yield,payout_ratio,pb_ratio,pe_ratio,ps_ratio
Aviva,2.33,55.43,3.47,48.5,0.63,4.33,0.15
Biffa,6.01,134.94,1.24,13.54,1.22,10.95,0.52
Card Factory,3.65,132.51,5.8,33.14,0.77,3.31,0.38
Elementis,9.96,66.2,3.53,35.44,0.51,9.97,0.52
Hunting,5.75,4.2,1.82,45.84,0.39,11.99,0.48
Inchcape,12.43,52.64,1.91,33.35,1.45,5.91,0.19
Royal Mail,4.73,50.22,4.36,46.58,0.31,10.68,0.16
TI Fluid Systems,8.47,113.14,1.41,32.91,0.94,7.69,0.32
