,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.53,0.31,2.58,0.64,55.16,1.98,11.46
1,Grafton,11.5,0.62,12.08,1.21,64.77,0.94,31.37
2,Hunting,10.48,0.42,5.03,0.34,4.2,2.18,45.84
3,Royal Mail,13.17,0.2,5.83,0.38,50.22,3.53,46.58
4,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
5,Biffa,11.35,0.54,6.23,1.26,134.94,1.19,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Rank,10.99,0.72,14.49,1.32,102.17,6.05,44.06
8,TI Fluid Systems,7.39,0.31,8.13,0.9,113.14,1.47,32.91
