,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.02,0.28,2.35,0.58,55.16,2.17,11.46
1,CRH,17.08,0.9,13.39,1.36,98.7,2.46,44.22
2,Royal Mail,10.76,0.16,4.76,0.31,50.22,4.33,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.38,0.54,6.24,1.26,134.94,1.19,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,10.97,0.72,14.47,1.32,102.17,6.06,44.06
