,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.38,0.3,2.51,0.62,55.16,2.03,11.46
1,CRH,17.92,0.95,14.05,1.43,98.7,2.41,44.22
2,Royal Mail,15.46,0.23,6.84,0.44,50.22,3.01,46.58
3,Biffa,12.34,0.59,6.8,1.37,134.94,1.1,13.54
