Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.01,0.34,2.81,0.7,55.16,3.94,11.46
CRH,18.45,0.98,14.47,1.47,98.7,2.35,44.22
