,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.14,0.29,2.4,0.6,55.16,2.12,11.46
1,CRH,16.44,0.87,12.89,1.31,98.7,2.6,44.22
2,Royal Mail,14.96,0.22,6.62,0.43,50.22,3.11,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.6,0.55,6.36,1.29,134.94,1.17,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
