Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,6.15,0.35,2.87,0.71,55.16,1.78,11.46
CRH,18.87,1.0,14.8,1.5,98.7,2.34,44.22
