,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.46,0.31,2.55,0.63,55.16,2.0,11.46
1,Grafton,11.36,0.61,11.94,1.2,64.77,0.95,31.37
2,Hunting,10.63,0.43,5.1,0.34,4.2,2.15,45.84
3,Royal Mail,12.71,0.19,5.62,0.36,50.22,3.66,46.58
4,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
5,Biffa,11.21,0.53,6.15,1.24,134.94,1.21,13.54
6,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
7,Rank,11.08,0.73,14.61,1.33,102.17,6.0,44.06
8,TI Fluid Systems,7.33,0.3,8.07,0.89,113.14,1.49,32.91
