,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.52,0.31,2.58,0.64,55.16,1.98,11.46
1,CRH,17.13,0.91,13.43,1.36,98.7,2.35,44.22
2,Royal Mail,14.51,0.22,6.42,0.42,50.22,3.21,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,11.81,0.56,6.48,1.31,134.94,1.15,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,9.85,0.65,12.99,1.18,102.17,2.28,44.06
