Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.79,0.33,2.7,0.67,55.16,1.89,11.46
CRH,18.02,0.95,14.13,1.43,98.7,2.43,44.22
