Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.56,0.31,2.6,0.65,55.16,1.96,11.46
CRH,18.26,0.97,14.31,1.45,98.7,2.42,44.22
Royal Mail,16.82,0.25,7.44,0.48,50.22,2.77,46.58
