,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,4.5,0.16,2.42,0.66,55.43,3.34,48.5
1,Grafton,11.16,0.6,11.72,1.17,64.77,0.97,31.37
2,Hunting,11.3,0.45,5.42,0.36,4.2,2.02,45.84
3,Royal Mail,11.45,0.17,5.07,0.33,50.22,4.07,46.58
4,Biffa,11.16,0.53,6.12,1.24,134.94,1.21,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
6,Rank,11.34,0.74,14.95,1.36,102.17,5.86,44.06
7,TI Fluid Systems,7.11,0.3,7.83,0.87,113.14,1.52,32.91
