,Company Name,cash_flow,dividend_yield,payout_ratio,pb_ratio,pe_ratio,ps_ratio
32,Aviva,2.31,3.48,48.5,0.63,4.33,0.15
64,Card Factory,3.63,5.8,33.14,0.77,3.31,0.38
105,Elementis,10.0,3.44,35.44,0.52,10.17,0.53
171,Hunting,5.59,1.86,45.84,0.38,11.71,0.47
188,Investec,1.14,7.02,27.54,0.32,3.94,0.78
300,Royal Mail,4.71,4.35,46.58,0.31,10.7,0.16
358,TI Fluid Systems,8.25,1.44,32.91,0.92,7.54,0.31
