,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.3,0.3,2.48,0.62,55.16,2.06,11.46
1,CRH,17.07,0.9,13.38,1.36,98.7,2.54,44.22
2,Royal Mail,14.9,0.22,6.59,0.43,50.22,3.12,46.58
3,Biffa,12.25,0.59,6.76,1.36,134.94,1.11,13.54
