,Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
0,Aviva,5.23,0.3,2.45,0.61,55.16,2.09,11.46
1,CRH,16.58,0.88,13.0,1.32,98.7,2.6,44.22
2,Royal Mail,15.14,0.22,6.7,0.43,50.22,3.08,46.58
3,Aggreko,8.25,0.66,5.26,0.79,49.37,2.25,55.04
4,Biffa,12.28,0.59,6.77,1.36,134.94,1.1,13.54
5,C&C Group,9.17,0.43,12.57,1.2,99.58,2.44,63.88
