Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.75,0.32,2.69,0.67,55.16,4.11,11.46
CRH,17.54,0.93,13.75,1.39,98.7,2.45,44.22
