Company Name,P/E Ratio,P/S Ratio,Cash Flow,P/B Ratio,Debt to Equity,Dividend Yield,Payout Ratio
Aviva,5.54,0.31,2.59,0.64,55.16,1.97,11.46
CRH,17.26,0.91,13.53,1.37,98.7,2.52,44.22
Royal Mail,16.25,0.24,7.19,0.47,50.22,2.87,46.58
